,SUT,Paths,Methods,Operations,Parametric Operations,Parametered Operations,Used Parameters,Distinct Parameters,Parameters Per Operations,Path Depth,Path Depth Variance,Example Rate,Default Rate,Type,Method Count
373,azure_network-serviceEndpointPolicy_2018-07-01,5,4,10,10,10,46,10,4.6,8.3,2.21,0.0,0.0,"{""string"": {""num"": 46, ""format"": []}, ""object"": {""num"": 3, ""format"": []}}","{""get"": 5, ""put"": 2, ""delete"": 2, ""patch"": 1}"
374,pandorabots_1_0_0,7,4,13,13,13,51,16,3.923076923076923,3.6923076923076925,0.8284023668639053,0.0,0.0,"{""string"": {""num"": 53, ""format"": []}}","{""post"": 2, ""get"": 5, ""put"": 3, ""delete"": 3}"
375,patrowl_1_0_0,14,2,14,4,5,5,2,0.35714285714285715,1.2142857142857142,0.3112244897959184,0.0,0.0,"{""integer"": {""num"": 6, ""format"": []}}","{""get"": 13, ""post"": 1}"
376,personio_authentication_1_0,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""post"": 1}"
377,googleapis_language_v1beta1,4,1,4,4,4,111,19,27.75,2.0,0.0,0.0,0.0,"{""string"": {""num"": 76, ""format"": []}, ""boolean"": {""num"": 11, ""format"": []}, ""object"": {""num"": 4, ""format"": []}}","{""post"": 4}"
378,apisetu_revenueassam_3_0_0,1,1,1,0,1,4,4,4.0,2.0,0.0,0.5,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 2, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
379,azure_sql-metrics_2014-04-01,4,1,4,4,4,22,7,5.5,11.0,0.0,0.0,0.0,"{""string"": {""num"": 22, ""format"": []}}","{""get"": 4}"
380,apisetu_cgbse_3_0_0,2,1,2,0,2,14,7,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 10, ""format"": [""uuid""]}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 2}"
381,hubapi_conversations_v3,1,1,1,0,1,3,3,3.0,5.0,0.0,0.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 3, ""format"": []}}","{""post"": 1}"
382,apisetu_saralharyana_3_0_0,1,1,1,0,1,5,5,5.0,2.0,0.0,0.6,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 3, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
383,azure_maintenance-Maintenance_2018-06-01-preview,13,4,18,18,18,121,13,6.722222222222222,10.666666666666666,10.111111111111109,0.0,0.0,"{""string"": {""num"": 121, ""format"": []}, ""object"": {""num"": 4, ""format"": []}}","{""get"": 9, ""put"": 5, ""delete"": 3, ""patch"": 1}"
384,twilio_twilio_flex_v1_1_42_0,30,3,50,37,50,210,67,4.2,3.92,1.6736000000000002,0.0,0.0,"{""integer"": {""num"": 37, ""format"": []}, ""string"": {""num"": 148, ""format"": [""uri""]}, ""object"": {""num"": 19, ""format"": []}, ""boolean"": {""num"": 14, ""format"": []}, ""number"": {""num"": 3, ""format"": []}, ""array"": {""num"": 2, ""format"": []}}","{""get"": 24, ""post"": 20, ""delete"": 6}"
385,amadeus_amadeus-flight-cheapest-date-search_1_0_6,1,1,1,1,1,8,8,8.0,2.0,0.0,0.0,0.25,"{""string"": {""num"": 4, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""get"": 1}"
386,azure_containerregistry-containerregistry_scopemap_2019-05-01-preview,5,5,11,11,11,73,19,6.636363636363637,9.727272727272727,0.1983471074380165,0.0,0.0,"{""string"": {""num"": 69, ""format"": [""date-time""]}, ""object"": {""num"": 5, ""format"": []}}","{""post"": 1, ""get"": 4, ""put"": 2, ""delete"": 2, ""patch"": 2}"
387,apache_qakka_v1,7,4,10,7,7,16,9,1.6,2.5,1.25,0.0,0.125,"{""string"": {""num"": 15, ""format"": [""byte""]}, ""boolean"": {""num"": 1, ""format"": []}, ""array"": {""num"": 1, ""format"": []}}","{""get"": 5, ""post"": 2, ""delete"": 2, ""put"": 1}"
388,truanon_1_0_0,2,1,2,2,2,4,2,2.0,2.0,0.0,1.0,0.0,"{""string"": {""num"": 4, ""format"": []}}","{""get"": 2}"
389,wolframalpha_v0_1,2,1,2,2,2,2,1,1.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 2}"
390,adyen_TransferService_1,3,2,3,2,3,17,13,5.666666666666667,1.3333333333333333,0.2222222222222222,0.0,0.0,"{""string"": {""num"": 15, ""format"": [""date-time""]}, ""integer"": {""num"": 2, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 2, ""post"": 1}"
391,apisetu_transportdd_3_0_0,2,1,2,0,2,14,9,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 10, ""format"": [""uuid""]}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 2}"
392,azure_azsadmin-EdgeGateway_2016-05-01,2,1,2,2,2,10,6,5.0,9.5,0.25,0.0,0.2,"{""string"": {""num"": 10, ""format"": []}}","{""get"": 2}"
393,adyen_BalanceControlService_1,1,1,1,0,1,7,7,7.0,1.0,0.0,0.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
394,azure_network-virtualWan_2018-04-01,17,5,31,31,31,135,14,4.354838709677419,7.838709677419355,1.8772112382934447,0.0,0.0,"{""string"": {""num"": 135, ""format"": []}, ""object"": {""num"": 10, ""format"": []}}","{""get"": 16, ""put"": 5, ""delete"": 5, ""patch"": 4, ""post"": 1}"
395,azure_authorization-authorization-ElevateAccessCalls_2015-07-01,1,1,1,1,1,1,1,1.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 1, ""format"": []}}","{""post"": 1}"
396,googleapis_admin_datatransfer_v1,4,2,5,5,5,132,26,26.4,4.4,0.24,0.0,0.007575757575757576,"{""string"": {""num"": 99, ""format"": [""date-time""]}, ""integer"": {""num"": 3, ""format"": []}, ""boolean"": {""num"": 10, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 4, ""post"": 1}"
397,wowza_1,70,5,104,96,103,415,116,3.9903846153846154,3.0384615384615383,1.844674556213018,0.6096385542168675,0.0,"{""integer"": {""num"": 43, ""format"": []}, ""object"": {""num"": 27, ""format"": []}, ""string"": {""num"": 243, ""format"": [""date-time"", ""date""]}, ""boolean"": {""num"": 62, ""format"": []}}","{""get"": 50, ""post"": 16, ""delete"": 12, ""patch"": 11, ""put"": 15}"
398,c19qrserver_1_1,11,4,14,6,12,29,15,2.0714285714285716,1.3571428571428572,0.2295918367346938,0.896551724137931,0.034482758620689655,"{""object"": {""num"": 7, ""format"": []}, ""string"": {""num"": 15, ""format"": []}, ""number"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 9, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""post"": 7, ""get"": 4, ""put"": 1, ""delete"": 2}"
399,apisetu_vhseker_3_0_0,1,1,1,0,1,8,8,8.0,2.0,0.0,0.75,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 6, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
400,azure_automation-linkedWorkspace_2015-10-31,1,1,1,1,1,4,4,4.0,9.0,0.0,0.0,0.0,"{""string"": {""num"": 4, ""format"": []}}","{""get"": 1}"
401,azure_subscription-subscriptions_2019-03-01-preview,3,1,3,3,3,7,3,2.3333333333333335,5.0,0.0,0.0,0.0,"{""string"": {""num"": 7, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""post"": 3}"
402,mastercard_MAWS_1_1_0,1,1,1,0,1,10,10,10.0,2.0,0.0,1.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 10, ""format"": []}}","{""post"": 1}"
403,sportsdata_nba-v3-stats_1_0,30,1,30,30,30,60,9,2.0,3.0,0.6666666666666666,0.0,0.5,"{""string"": {""num"": 30, ""format"": []}}","{""get"": 30}"
404,azure_sql-syncAgents_2015-05-01-preview,4,4,6,6,6,32,8,5.333333333333333,10.166666666666666,0.4722222222222223,0.0,0.0,"{""string"": {""num"": 32, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 3, ""put"": 1, ""delete"": 1, ""post"": 1}"
405,surrey_trafficloops_0_1,2,1,2,2,2,3,3,1.5,1.0,0.0,0.0,0.0,"{""number"": {""num"": 3, ""format"": []}}","{""get"": 2}"
406,apisetu_edistrictkerala_3_0_0,24,1,24,0,24,144,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 24, ""format"": []}, ""string"": {""num"": 96, ""format"": [""uuid""]}, ""integer"": {""num"": 24, ""format"": []}}","{""post"": 24}"
407,azure_web-Diagnostics_2016-03-01,22,2,22,22,22,144,12,6.545454545454546,11.772727272727273,3.2665289256198347,0.0,0.0,"{""string"": {""num"": 144, ""format"": [""date-time""]}}","{""get"": 18, ""post"": 4}"
408,azure_notificationhubs_2014-09-01,15,4,23,23,23,171,45,7.434782608695652,9.173913043478262,7.100189035916824,0.0,0.0,"{""string"": {""num"": 160, ""format"": [""date-time""]}, ""object"": {""num"": 6, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 3, ""format"": []}}","{""post"": 9, ""get"": 6, ""put"": 4, ""delete"": 4}"
409,twilio_twilio_content_v1_1_42_0,5,2,6,6,6,12,4,2.0,2.6666666666666665,0.5555555555555555,0.0,0.0,"{""integer"": {""num"": 6, ""format"": []}, ""string"": {""num"": 6, ""format"": []}}","{""get"": 5, ""delete"": 1}"
410,sportsdata_nascar-v2_1_0,6,1,6,6,6,10,4,1.6666666666666667,2.6666666666666665,0.2222222222222222,0.0,0.6,"{""string"": {""num"": 4, ""format"": []}}","{""get"": 6}"
411,fraudlabspro_fraud-detection_1_1,2,1,2,2,2,38,36,19.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 33, ""format"": []}, ""number"": {""num"": 1, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 2}"
412,mastercard_open-banking-connect-pis_1_16_0,12,2,12,0,11,147,38,12.25,2.5833333333333335,0.2430555555555556,0.9115646258503401,0.0,"{""object"": {""num"": 11, ""format"": []}, ""string"": {""num"": 123, ""format"": [""date""]}, ""number"": {""num"": 3, ""format"": []}}","{""post"": 11, ""get"": 1}"
413,wmata_incidents_1_0,6,1,6,4,4,4,2,0.6666666666666666,1.5,0.25,0.0,0.0,{},"{""get"": 6}"
414,npr_station-finder_3,2,1,2,2,2,8,7,4.0,2.5,0.25,0.0,0.0,"{""string"": {""num"": 5, ""format"": []}, ""number"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""get"": 2}"
415,azure_apimanagement-apimopenidconnectproviders_2018-06-01-preview,2,5,6,6,6,43,17,7.166666666666667,9.833333333333334,0.13888888888888887,0.0,0.0,"{""string"": {""num"": 41, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 2, ""put"": 1, ""delete"": 1, ""head"": 1, ""patch"": 1}"
416,hubapi_business units_v3,1,1,1,1,1,3,2,3.0,5.0,0.0,0.0,0.0,"{""string"": {""num"": 3, ""format"": []}, ""array"": {""num"": 2, ""format"": []}}","{""get"": 1}"
417,azure_compute-swagger_2015-11-01,1,1,1,1,1,10,7,10.0,8.0,0.0,0.0,0.1,"{""string"": {""num"": 7, ""format"": [""password""]}, ""object"": {""num"": 1, ""format"": []}}","{""put"": 1}"
418,vtex_VTEX_TEMPLATE_1_0_0,2,2,3,2,2,2,2,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.0,0.0,"{""integer"": {""num"": 1, ""format"": []}, ""string"": {""num"": 1, ""format"": []}}","{""get"": 2, ""post"": 1}"
419,azure_cognitiveservices_2017-04-18,11,5,14,14,14,94,27,6.714285714285714,7.142857142857143,3.4081632653061216,0.0,0.0,"{""string"": {""num"": 83, ""format"": []}, ""object"": {""num"": 5, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}}","{""get"": 7, ""post"": 4, ""put"": 1, ""delete"": 1, ""patch"": 1}"
420,googleapis_adsensehost_v4_1,17,5,26,26,26,522,43,20.076923076923077,3.4615384615384617,2.479289940828402,0.0,0.019157088122605363,"{""array"": {""num"": 11, ""format"": []}, ""string"": {""num"": 407, ""format"": []}, ""boolean"": {""num"": 53, ""format"": []}, ""integer"": {""num"": 9, ""format"": []}, ""object"": {""num"": 7, ""format"": []}}","{""get"": 16, ""put"": 2, ""post"": 3, ""patch"": 2, ""delete"": 3}"
421,biztoc_v1,1,1,1,1,1,1,1,1.0,2.0,0.0,0.0,0.0,"{""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
422,image-charts_6_1_19,2,1,2,2,2,48,45,24.0,1.5,0.25,0.0,0.2916666666666667,"{""string"": {""num"": 37, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 2}"
423,ticketmaster_commerce_v2,1,1,1,1,1,6,6,6.0,5.0,0.0,0.0,0.0,"{""string"": {""num"": 7, ""format"": []}}","{""get"": 1}"
424,interzoid_getfullnameparsedmatch_1_0_0,1,1,1,1,1,3,3,3.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 3, ""format"": []}}","{""get"": 1}"
425,interzoid_getareacodefromnumber_1_0_0,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
426,interzoid_getcountrystandard_1_0_0,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
427,googleapis_accesscontextmanager_v1beta,4,4,9,9,9,259,32,28.77777777777778,2.4444444444444446,0.24691358024691354,0.0,0.0,"{""integer"": {""num"": 3, ""format"": []}, ""string"": {""num"": 187, ""format"": []}, ""boolean"": {""num"": 25, ""format"": []}, ""object"": {""num"": 4, ""format"": []}}","{""get"": 4, ""post"": 3, ""delete"": 1, ""patch"": 1}"
428,apisetu_aiimspatna_3_0_0,1,1,1,0,1,7,7,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 5, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
429,instagram_1_0_0,23,3,27,25,25,55,24,2.037037037037037,2.888888888888889,0.5432098765432098,0.0,0.0,"{""string"": {""num"": 36, ""format"": []}, ""integer"": {""num"": 14, ""format"": []}, ""number"": {""num"": 4, ""format"": []}}","{""get"": 22, ""post"": 3, ""delete"": 2}"
430,amentum_space_radiation_1_1_2,3,1,3,3,3,30,15,10.0,2.0,0.0,1.0,0.0,"{""integer"": {""num"": 16, ""format"": []}, ""number"": {""num"": 8, ""format"": []}}","{""get"": 3}"
431,googleapis_games_v1,30,2,31,31,31,786,43,25.35483870967742,4.483870967741935,1.3465140478668052,0.0,0.0,"{""string"": {""num"": 564, ""format"": []}, ""integer"": {""num"": 23, ""format"": []}, ""boolean"": {""num"": 63, ""format"": []}, ""object"": {""num"": 3, ""format"": []}, ""array"": {""num"": 1, ""format"": []}}","{""get"": 21, ""post"": 10}"
432,googleapis_webfonts_v1,1,1,1,1,1,26,14,26.0,2.0,0.0,0.0,0.0,"{""array"": {""num"": 2, ""format"": []}, ""string"": {""num"": 18, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 1}"
433,azure_analysisservices_2017-08-01,13,5,16,16,16,77,21,4.8125,7.5,2.875,0.0,0.025974025974025976,"{""string"": {""num"": 71, ""format"": []}, ""object"": {""num"": 3, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 8, ""post"": 5, ""put"": 1, ""delete"": 1, ""patch"": 1}"
434,azure_recoveryservices-vaults_2016-06-01,6,5,11,11,11,56,9,5.090909090909091,7.818181818181818,4.330578512396694,0.0,0.0,"{""string"": {""num"": 56, ""format"": []}, ""object"": {""num"": 5, ""format"": []}}","{""get"": 5, ""post"": 1, ""put"": 2, ""delete"": 1, ""patch"": 2}"
435,mastercard_PersonalizedLoyaltyOffers_1_3,8,2,8,8,8,30,12,3.75,1.0,0.0,0.0,0.0,"{""string"": {""num"": 25, ""format"": []}, ""integer"": {""num"": 5, ""format"": []}}","{""post"": 2, ""get"": 6}"
436,azure_network-expressRouteGateway_2018-08-01,5,3,9,9,9,41,9,4.555555555555555,8.333333333333334,2.444444444444444,0.0,0.0,"{""string"": {""num"": 41, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 5, ""put"": 2, ""delete"": 2}"
437,sportsdata_nhl-v3-scores_1_0,18,1,18,18,18,30,7,1.6666666666666667,2.6666666666666665,0.5555555555555556,0.0,0.6,"{""string"": {""num"": 12, ""format"": []}}","{""get"": 18}"
438,wordnik_4_0,16,1,16,16,16,92,35,5.75,2.75,0.1875,0.0,0.6086956521739131,"{""string"": {""num"": 30, ""format"": []}, ""integer"": {""num"": 37, ""format"": []}}","{""get"": 16}"
439,adyen_DataProtectionService_1,1,1,1,0,1,3,3,3.0,1.0,0.0,0.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}, ""string"": {""num"": 2, ""format"": []}}","{""post"": 1}"
440,nrel_transportation-incentives-laws_0_1_0,4,1,4,4,4,25,16,6.25,1.75,0.1875,0.0,0.6,"{""string"": {""num"": 12, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 6, ""format"": []}}","{""get"": 4}"
441,adyen_BalancePlatformService_1,24,4,34,25,34,366,106,10.764705882352942,1.911764705882353,0.4333910034602076,0.0,0.00273224043715847,"{""object"": {""num"": 16, ""format"": []}, ""string"": {""num"": 302, ""format"": [""date-time""]}, ""integer"": {""num"": 22, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}}","{""post"": 9, ""get"": 15, ""patch"": 7, ""delete"": 3}"
442,azure_sql-backups_2014-04-01,4,1,4,4,4,18,6,4.5,9.5,0.25,0.0,0.0,"{""string"": {""num"": 18, ""format"": []}}","{""get"": 4}"
443,ip2whois_1_0,1,1,1,1,1,3,3,3.0,0.0,0.0,0.0,0.0,"{""string"": {""num"": 3, ""format"": []}}","{""get"": 1}"
444,thenounproject_1_0_0,13,1,13,12,12,30,9,2.3076923076923075,2.3846153846153846,0.5443786982248521,0.0,0.0,"{""integer"": {""num"": 24, ""format"": []}, ""string"": {""num"": 6, ""format"": []}}","{""get"": 13}"
445,apisetu_transporthr_3_0_0,2,1,2,0,2,14,9,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 10, ""format"": [""uuid""]}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 2}"
446,departureboard_2_0,6,1,6,6,6,36,10,6.0,2.0,0.0,0.0,0.5,"{""string"": {""num"": 18, ""format"": []}, ""integer"": {""num"": 13, ""format"": []}, ""boolean"": {""num"": 5, ""format"": []}}","{""get"": 6}"
447,azure_sql-serverOperations_2019-06-01-preview,1,1,1,1,1,4,4,4.0,9.0,0.0,0.0,0.0,"{""string"": {""num"": 4, ""format"": []}}","{""get"": 1}"
448,apisetu_enibandhanjh_3_0_0,3,1,3,0,3,20,9,6.666666666666667,2.0,0.0,0.7,0.0,"{""object"": {""num"": 3, ""format"": []}, ""string"": {""num"": 14, ""format"": [""uuid""]}, ""integer"": {""num"": 3, ""format"": []}}","{""post"": 3}"
449,amentum_gravity_1_1_1,2,1,2,2,2,4,2,2.0,2.0,0.0,1.0,0.0,"{""number"": {""num"": 4, ""format"": []}}","{""get"": 2}"
450,tvmaze_1_0,25,5,42,35,39,92,22,2.1904761904761907,3.357142857142857,0.70578231292517,0.0,0.010869565217391304,"{""object"": {""num"": 8, ""format"": []}, ""string"": {""num"": 5, ""format"": [""date""]}, ""boolean"": {""num"": 1, ""format"": []}, ""array"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 78, ""format"": []}}","{""post"": 5, ""get"": 18, ""put"": 9, ""delete"": 9, ""patch"": 1}"
451,deutschebahn_flinkster_v1,10,1,10,9,9,32,17,3.2,2.3,1.21,0.0,0.0,"{""number"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 6, ""format"": []}, ""string"": {""num"": 22, ""format"": []}}","{""get"": 10}"
452,azure_machinelearningexperimentation-machineLearningExperimentation_2017-05-01-preview,8,4,17,17,17,96,15,5.647058823529412,9.058823529411764,5.937716262975779,0.0,0.0,"{""string"": {""num"": 96, ""format"": []}, ""object"": {""num"": 6, ""format"": []}}","{""get"": 8, ""put"": 3, ""delete"": 3, ""patch"": 3}"
453,ebay_buy-browse_v1_1_0,11,2,11,7,10,40,27,3.6363636363636362,1.9090909090909092,0.26446280991735543,0.0,0.0,"{""string"": {""num"": 38, ""format"": []}, ""object"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 6, ""post"": 5}"
454,azure_sql-operations_2014-04-01,1,1,1,1,1,1,1,1.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
455,interzoid_getaddressmatch_1_0_0,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
456,azure_azsadmin-ScaleUnit_2016-05-01,4,2,4,4,4,34,16,8.5,10.25,0.6875,0.0,0.11764705882352941,"{""string"": {""num"": 32, ""format"": []}, ""object"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 2, ""post"": 2}"
457,azure_azsadmin-DelegatedProviderOffer_2015-11-01,2,1,2,2,2,7,4,3.5,7.5,0.25,0.0,0.2857142857142857,"{""string"": {""num"": 7, ""format"": []}}","{""get"": 2}"
458,azure_cosmos-db-privateLinkResources_2019-08-01-preview,2,1,2,2,2,9,5,4.5,9.5,0.25,0.0,0.0,"{""string"": {""num"": 9, ""format"": []}}","{""get"": 2}"
459,apisetu_dbraitandaman_3_0_0,1,1,1,0,1,7,7,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 5, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
460,googleapis_licensing_v1,4,5,7,7,7,194,22,27.714285714285715,8.285714285714286,1.0612244897959184,0.0,0.010309278350515464,"{""string"": {""num"": 150, ""format"": []}, ""boolean"": {""num"": 14, ""format"": []}, ""object"": {""num"": 3, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 1, ""get"": 3, ""put"": 1, ""delete"": 1, ""patch"": 1}"
461,scideas_regression_1_0,1,1,1,0,1,3,3,3.0,2.0,0.0,1.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 3, ""format"": []}}","{""post"": 1}"
462,azure_authorization-authorization-RoleDefinitionsCalls_2015-07-01,5,3,7,7,7,33,16,4.714285714285714,5.571428571428571,9.6734693877551,0.0,0.0,"{""string"": {""num"": 33, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 5, ""put"": 1, ""delete"": 1}"
463,nytimes_books_api_3_0_0,6,1,6,6,6,45,20,7.5,2.0,0.6666666666666666,0.0,0.0,"{""string"": {""num"": 26, ""format"": [""date-time""]}, ""integer"": {""num"": 9, ""format"": []}}","{""get"": 6}"
464,adobe_aem_3_7_1-pre_0,43,3,48,39,40,291,209,6.0625,3.5208333333333335,1.541232638888889,0.0,0.003436426116838488,"{""string"": {""num"": 241, ""format"": [""binary""]}, ""integer"": {""num"": 5, ""format"": []}, ""boolean"": {""num"": 38, ""format"": []}, ""array"": {""num"": 11, ""format"": []}, ""number"": {""num"": 7, ""format"": []}, ""object"": {""num"": 6, ""format"": []}}","{""post"": 28, ""get"": 18, ""delete"": 2}"
465,domainsdb_1_0,14,1,14,13,13,69,14,4.928571428571429,3.0,0.5714285714285714,0.0,0.11594202898550725,"{""string"": {""num"": 58, ""format"": []}, ""integer"": {""num"": 8, ""format"": []}, ""boolean"": {""num"": 3, ""format"": []}}","{""get"": 14}"
466,bigdatacloud_1_0_0,2,1,2,2,2,6,3,3.0,2.0,0.0,1.0,0.0,"{""string"": {""num"": 6, ""format"": []}}","{""get"": 2}"
467,azure_sql-databaseVulnerabilityAssessments_2017-03-01-preview,2,3,4,4,4,26,9,6.5,11.75,0.1875,0.0,0.0,"{""string"": {""num"": 23, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 2, ""put"": 1, ""delete"": 1}"
468,azure_recoveryservicesbackup-operations_2016-08-10,1,1,1,1,1,1,1,1.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
469,sakari_1_0_1,15,4,26,24,26,87,30,3.3461538461538463,4.423076923076923,0.628698224852071,0.12643678160919541,0.0,"{""object"": {""num"": 5, ""format"": []}, ""string"": {""num"": 73, ""format"": [""uri"", ""binary""]}, ""integer"": {""num"": 10, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""post"": 7, ""get"": 11, ""put"": 4, ""delete"": 4}"
470,azure_network-serviceCommunity_2016-12-01,1,1,1,1,1,2,2,2.0,5.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
471,azure_security-advancedThreatProtectionSettings_2017-08-01-preview,1,2,2,2,2,9,6,4.5,5.0,0.0,0.0,0.0,"{""string"": {""num"": 7, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 1, ""put"": 1}"
472,epa_sdw_2019_10_15,4,2,8,4,8,138,61,17.25,1.0,0.0,0.0,0.014492753623188406,"{""string"": {""num"": 76, ""format"": []}, ""object"": {""num"": 4, ""format"": []}, ""number"": {""num"": 8, ""format"": []}}","{""get"": 4, ""post"": 4}"
473,calorieninjas_1_0_0,1,1,1,1,1,1,1,1.0,2.0,0.0,0.0,0.0,"{""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
474,azure_eventhub-EventHub-preview_2018-01-01-preview,14,4,26,26,26,119,10,4.576923076923077,8.384615384615385,3.2366863905325447,0.0,0.0,"{""string"": {""num"": 119, ""format"": []}, ""object"": {""num"": 7, ""format"": []}}","{""get"": 14, ""put"": 5, ""delete"": 4, ""patch"": 3}"
475,azure_apimanagement-apimtagresources_2019-01-01,1,1,1,1,1,7,7,7.0,9.0,0.0,0.0,0.0,"{""string"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 1}"
476,apisetu_jeecup_3_0_0,1,1,1,0,1,7,7,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 5, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
477,nexmo_numbers_1_0_20,5,2,5,2,5,30,19,6.0,2.0,0.0,0.6,0.2,"{""string"": {""num"": 19, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}, ""integer"": {""num"": 4, ""format"": []}, ""object"": {""num"": 3, ""format"": []}}","{""get"": 2, ""post"": 3}"
